bidder_id,company_name,gstin,pan,udyam_number,cin,registered_state,msme_category,tender_category,bid_id,profile_tag,reference_compliance_score,reference_risk_level
BID-00015,Unity Corp,04RUSVX9595V1Z1,CLWEG3438I,UDYAM-KA-25-8072684,U43065DL2007PTC593152,KA,Small,Goods,GEM/2026/B/6871360,CLEAN,100,LOW
BID-00016,National Pvt Ltd,02QGMCY4236X1Z2,UEIPY5939G,UDYAM-MH-03-5074336,U23356DL2014PTC991597,MH,Micro,Goods,GEM/2026/B/9488613,MINOR_ISSUES,70,MEDIUM
BID-00017,Shree Corp,06JXLDE5669Y1Z8,MVPIG9247S,UDYAM-GJ-20-7358385,U54092DL2005PTC618317,GJ,Small,Goods,GEM/2026/B/4558780,CLEAN,100,LOW
BID-00018,Vishnu Solutions,05ONEGK5247O1Z1,CFRHP4547K,UDYAM-TN-12-8612582,U45509DL2014PTC363615,TN,Medium,Works,GEM/2026/B/4630331,MAJOR_ISSUES,35,HIGH
BID-00019,Unity Engineering,08CFFEA5295W1Z3,QTCAH4392P,UDYAM-WB-04-2096280,U62521DL2020PTC177680,WB,Medium,Works,GEM/2026/B/3545556,CLEAN,100,LOW
BID-00020,Sterling Enterprises,10KPQUJ9254S1Z1,PTYFF6110A,UDYAM-HR-14-8558197,U87832DL2020PTC405407,HR,Micro,Goods,GEM/2026/B/8617381,CLEAN,100,LOW
BID-00021,Unity Engineering,04OQXVB1375J1Z8,DRSYN4004K,UDYAM-KA-20-5200476,U13390DL2007PTC340044,KA,Medium,Goods,GEM/2026/B/1348050,CLEAN,100,LOW
BID-00022,Royal Pvt Ltd,05LHZLV9443D1Z3,ISHYV5433Y,UDYAM-TN-13-9633492,U10150DL2022PTC584417,TN,Micro,Services,GEM/2026/B/7069650,CLEAN,100,LOW
BID-00023,Star Pvt Ltd,08YLSDZ6215R1Z7,CZXLD8475I,UDYAM-WB-14-9094999,U71894DL2012PTC578975,WB,Micro,Services,GEM/2026/B/9526867,CLEAN,100,LOW
BID-00024,Bharat Solutions,03NVHHP9415L1Z6,OOLIE6527B,UDYAM-DL-11-8935224,U59968DL2017PTC795928,DL,Small,Services,GEM/2026/B/9823994,MAJOR_ISSUES,20,HIGH
BID-00025,Shree Industries,08BUGQK0365K1Z8,WABQX9740U,UDYAM-WB-23-2686231,U68153DL2010PTC827712,WB,Small,Works,GEM/2026/B/5096953,BLACKLISTED,30,HIGH
BID-00026,Royal Industries,07WQGXD4220Z1Z8,XRELI5642J,UDYAM-RJ-07-7454081,U73335DL2008PTC348728,RJ,Micro,Goods,GEM/2026/B/5963914,CLEAN,100,LOW
BID-00027,Shree Corp,05RTBPM9276L1Z4,QQRSR8696J,UDYAM-TN-26-8395785,U14373DL2023PTC482584,TN,Small,Goods,GEM/2026/B/6481437,CLEAN,100,LOW
BID-00028,Prime Traders,07JNHEX9928Z1Z2,MBTFR6385C,UDYAM-RJ-26-7619862,U11824DL2013PTC662636,RJ,Micro,Works,GEM/2026/B/4922880,MAJOR_ISSUES,28,HIGH
BID-00029,Silver Textiles,01BVXHK1934D1Z4,XDLRT9471N,UDYAM-UP-21-2661307,U74139DL2018PTC393328,UP,Small,Works,GEM/2026/B/8438733,CLEAN,100,LOW
BID-00030,Lakshmi Enterprises,04ZJKED8466T1Z1,BIZUF8558H,UDYAM-KA-11-3475548,U88116DL2005PTC390743,KA,Medium,Services,GEM/2026/B/5205279,CLEAN,100,LOW
BID-00031,Global Pvt Ltd,03UPAGD4104L1Z9,PLFPS9636A,UDYAM-DL-02-9035982,U62640DL2018PTC819425,DL,Micro,Goods,GEM/2026/B/2232969,CLEAN,100,LOW
BID-00032,Vishnu Engineering,02QPSJP2547D1Z9,SFLFI4404V,UDYAM-MH-09-7279729,U30006DL2020PTC170394,MH,Micro,Goods,GEM/2026/B/8245685,CLEAN,100,LOW
BID-00033,Sunrise Textiles,06ORKWY4902J1Z6,CNEMW3512H,UDYAM-GJ-26-8199311,U83526DL2022PTC127529,GJ,Micro,Works,GEM/2026/B/3403361,BLACKLISTED,0,HIGH
BID-00034,Bharat Industries,07CNJLE3395B1Z3,EQRHR4427D,UDYAM-RJ-12-8212753,U24534DL2014PTC811163,RJ,Medium,Works,GEM/2026/B/6056977,BLACKLISTED,30,HIGH
BID-00035,Unity Solutions,03TEJSN8808B1Z7,AXWOO7410K,UDYAM-DL-06-8719145,U57428DL2007PTC557925,DL,Small,Goods,GEM/2026/B/7718433,CLEAN,100,LOW
BID-00036,Ganga Solutions,02UBQNF7396E1Z4,CGEDT0964S,UDYAM-MH-25-8531380,U99277DL2023PTC774225,MH,Medium,Services,GEM/2026/B/6303930,CLEAN,100,LOW
BID-00037,Bharat Agro,08HBNIL0808C1Z9,JPYTB9516Q,UDYAM-WB-05-2038068,U69050DL2008PTC950360,WB,Small,Works,GEM/2026/B/9464927,CLEAN,100,LOW
BID-00038,National Traders,03NPJXK7606K1Z2,IOKGW9610V,UDYAM-DL-05-6869018,U50662DL2017PTC235215,DL,Medium,Services,GEM/2026/B/7070468,BLACKLISTED,30,HIGH
BID-00039,Sterling Industries,06MFDCV1788B1Z6,WQPEE6697B,UDYAM-GJ-14-7111929,U98652DL2012PTC565776,GJ,Micro,Services,GEM/2026/B/7171347,MAJOR_ISSUES,28,HIGH
BID-00040,Star Agro,10KEFPW0439W1Z9,WHTHX1492O,UDYAM-HR-12-1447451,U64381DL2006PTC515712,HR,Small,Services,GEM/2026/B/2369112,CLEAN,100,LOW
BID-00041,Shree Technologies,04UDHVS1740C1Z1,GVOSN1230N,UDYAM-KA-21-8669093,U18232DL2008PTC977330,KA,Micro,Works,GEM/2026/B/1275739,CLEAN,100,LOW
BID-00042,Royal Traders,09AJOER5395Z1Z9,OKMQZ2073X,UDYAM-PB-22-2739191,U86271DL2015PTC239890,PB,Medium,Goods,GEM/2026/B/3937508,CLEAN,100,LOW
BID-00043,United Industries,08YAFUX3338P1Z5,AQHWB6274M,UDYAM-WB-24-8377556,U60678DL2015PTC295892,WB,Micro,Goods,GEM/2026/B/2324175,MINOR_ISSUES,82,LOW
BID-00044,Prime Textiles,10IHLSE4479T1Z7,HZYBQ3869E,UDYAM-HR-20-8351320,U14561DL2009PTC170499,HR,Small,Services,GEM/2026/B/7075878,CLEAN,100,LOW
BID-00045,National Engineering,10JLBDJ3290F1Z8,NXDUS2669G,UDYAM-HR-04-3277144,U19706DL2019PTC281043,HR,Micro,Works,GEM/2026/B/6361793,CLEAN,100,LOW
BID-00046,Bharat Textiles,06WSYQU5121Z1Z8,AOJUO6039X,UDYAM-GJ-16-9819709,U63843DL2018PTC963333,GJ,Medium,Services,GEM/2026/B/4052834,MAJOR_ISSUES,28,HIGH
BID-00047,Om Textiles,03HEYFY5201R1Z5,DHNNE9167T,UDYAM-DL-11-1691125,U13718DL2007PTC147670,DL,Micro,Goods,GEM/2026/B/4536777,CLEAN,100,LOW
BID-00048,Om Engineering,10QHYMU6200O1Z7,MFPIS7891L,UDYAM-HR-17-2781470,U51827DL2012PTC589131,HR,Medium,Goods,GEM/2026/B/3363534,CLEAN,100,LOW
BID-00049,Sterling Corp,01WEIPI7454J1Z8,AYNZF3048U,UDYAM-UP-22-8895137,U47453DL2022PTC108574,UP,Medium,Services,GEM/2026/B/5437118,CLEAN,100,LOW
BID-00050,Ganga Technologies,06OJHKL5866E1Z2,KUIYT1550E,UDYAM-GJ-23-6587495,U72094DL2021PTC579187,GJ,Micro,Services,GEM/2026/B/3345135,CLEAN,100,LOW
BID-00051,Vishnu Industries,10HIVNS2836N1Z5,USRAM9775X,UDYAM-HR-02-9060593,U32349DL2021PTC759580,HR,Small,Works,GEM/2026/B/1317716,MINOR_ISSUES,82,LOW
BID-00052,Om Industries,06NPMWS7559P1Z9,JYLNO6868I,UDYAM-GJ-20-9123194,U35200DL2012PTC392559,GJ,Small,Works,GEM/2026/B/5848684,CLEAN,100,LOW
BID-00053,United Technologies,04YSHOO8337E1Z5,BYCYR7282R,UDYAM-KA-23-5557052,U27992DL2008PTC745584,KA,Small,Services,GEM/2026/B/1851702,CLEAN,100,LOW
BID-00054,Metro Traders,09SCUAO9498P1Z4,THHBT6278B,UDYAM-PB-06-8010946,U33040DL2006PTC976822,PB,Micro,Goods,GEM/2026/B/5856449,CLEAN,100,LOW
BID-00055,Shree Solutions,01ZHZOM9841D1Z6,ELGET7571U,UDYAM-UP-13-8175669,U77538DL2015PTC190951,UP,Medium,Works,GEM/2026/B/3359075,CLEAN,100,LOW
BID-00056,Metro Pvt Ltd,06TYHSA6601J1Z3,KNXSI1926H,UDYAM-GJ-05-9022561,U30078DL2019PTC884056,GJ,Small,Services,GEM/2026/B/8899184,CLEAN,100,LOW
BID-00057,Apex Traders,09CLSCO0555E1Z3,INDFP0584Q,UDYAM-PB-14-8663806,U83912DL2006PTC685941,PB,Medium,Works,GEM/2026/B/2225232,MAJOR_ISSUES,28,HIGH
BID-00058,Lakshmi Enterprises,07BYAKT7964M1Z8,WXJRR5631R,UDYAM-RJ-13-9872505,U26691DL2012PTC975373,RJ,Medium,Goods,GEM/2026/B/8728009,MAJOR_ISSUES,35,HIGH
BID-00059,Unity Traders,03RPYXG0546B1Z4,TKGFW0528X,UDYAM-DL-19-6350316,U85690DL2015PTC348411,DL,Medium,Goods,GEM/2026/B/4708481,CLEAN,100,LOW
BID-00060,Unity Pvt Ltd,05XQLMZ9673N1Z7,DJTMW3789R,UDYAM-TN-14-7987842,U83044DL2021PTC240606,TN,Medium,Works,GEM/2026/B/2551288,MAJOR_ISSUES,28,HIGH
BID-00061,National Solutions,04BBUPR2293A1Z4,YZDZM2629R,UDYAM-KA-11-5748945,U59894DL2019PTC659572,KA,Small,Works,GEM/2026/B/7033835,CLEAN,100,LOW
BID-00062,Star Enterprises,08IFIBW7055X1Z7,HFFOG5937P,UDYAM-WB-24-9230828,U70401DL2010PTC868367,WB,Medium,Services,GEM/2026/B/2247057,MINOR_ISSUES,68,MEDIUM
BID-00063,Shree Corp,01SANJQ6644A1Z9,OANHZ0868F,UDYAM-UP-04-2615878,U78732DL2009PTC352674,UP,Micro,Works,GEM/2026/B/6946534,CLEAN,100,LOW
BID-00064,Bharat Technologies,07ZFRWQ8703R1Z8,BAEML7580Q,UDYAM-RJ-02-4854842,U37710DL2023PTC598598,RJ,Small,Services,GEM/2026/B/5703878,CLEAN,100,LOW
BID-00065,Royal Pvt Ltd,09FDVVY2558V1Z9,ITDZS5904C,UDYAM-PB-11-7655572,U52778DL2005PTC764926,PB,Micro,Services,GEM/2026/B/9230960,CLEAN,100,LOW
BID-00066,Classic Corp,06RCQUS0176X1Z7,ICAIJ2114R,UDYAM-GJ-17-7845845,U23538DL2005PTC193972,GJ,Small,Goods,GEM/2026/B/1207041,MINOR_ISSUES,75,MEDIUM
BID-00067,Ganga Enterprises,07ZOEJD3404N1Z5,MBGGQ5113M,UDYAM-RJ-11-7373495,U53193DL2019PTC450996,RJ,Medium,Works,GEM/2026/B/6354241,MAJOR_ISSUES,42,HIGH
BID-00068,Royal Traders,08UJYFZ1707W1Z4,LHSVU4462V,UDYAM-WB-05-8098909,U59412DL2007PTC570880,WB,Small,Services,GEM/2026/B/9965197,CLEAN,100,LOW
BID-00069,Classic Pvt Ltd,07NQCTR3609V1Z7,ZIUCC2756H,UDYAM-RJ-15-7276684,U61266DL2019PTC909859,RJ,Small,Works,GEM/2026/B/2440404,MAJOR_ISSUES,42,HIGH
BID-00070,Lakshmi Solutions,03NJCSL0070K1Z2,REZGE1592M,UDYAM-DL-21-4094587,U34430DL2018PTC514798,DL,Small,Services,GEM/2026/B/4452490,MINOR_ISSUES,92,LOW
BID-00071,Royal Enterprises,02FCRMZ3331L1Z8,QVSHP0113F,UDYAM-MH-12-3371602,U76954DL2017PTC538555,MH,Medium,Goods,GEM/2026/B/8097413,CLEAN,100,LOW
BID-00072,Classic Industries,08DILBJ0189Q1Z8,KMSLE5720H,UDYAM-WB-18-5843084,U32047DL2019PTC693127,WB,Medium,Goods,GEM/2026/B/9569902,CLEAN,100,LOW
BID-00073,Global Solutions,10TTLFL7628B1Z8,GWCWD8276W,UDYAM-HR-20-8183451,U31755DL2009PTC922974,HR,Medium,Services,GEM/2026/B/6885707,CLEAN,100,LOW
BID-00074,Silver Textiles,05HOYNX8174B1Z5,WDWGS8764S,UDYAM-TN-21-5508325,U92288DL2018PTC493396,TN,Micro,Services,GEM/2026/B/6491002,BLACKLISTED,15,HIGH
BID-00075,Bharat Agro,01WUKZV4325E1Z8,UXTBQ8091O,UDYAM-UP-01-8177281,U36518DL2009PTC781571,UP,Medium,Works,GEM/2026/B/7238503,MINOR_ISSUES,60,MEDIUM
BID-00076,National Corp,03TLCCF0554A1Z6,VZKDB3713J,UDYAM-DL-05-7420993,U27451DL2009PTC171734,DL,Medium,Services,GEM/2026/B/8421969,MINOR_ISSUES,92,LOW
BID-00077,Bharat Enterprises,04JZIDH0566Y1Z1,WRHNN7208H,UDYAM-KA-16-7474085,U24777DL2012PTC623850,KA,Micro,Goods,GEM/2026/B/1202450,CLEAN,100,LOW
BID-00078,Sunrise Corp,06RTYUA0200Z1Z7,NQNKS0562J,UDYAM-GJ-03-9578269,U36633DL2009PTC662445,GJ,Medium,Services,GEM/2026/B/2109227,CLEAN,100,LOW
BID-00079,Metro Pvt Ltd,07DPBRR1010P1Z6,NUSED7287A,UDYAM-RJ-11-8202871,U45649DL2021PTC166974,RJ,Micro,Goods,GEM/2026/B/3799805,MAJOR_ISSUES,42,HIGH
BID-00080,Unity Enterprises,03FNBWG4319B1Z9,USRFG9385D,UDYAM-DL-17-1883692,U33507DL2012PTC943409,DL,Medium,Works,GEM/2026/B/2449308,MINOR_ISSUES,85,LOW
BID-00081,Shree Technologies,08HQMPM7197H1Z3,AKGJV8906X,UDYAM-WB-24-6159172,U23624DL2011PTC655550,WB,Micro,Services,GEM/2026/B/3388630,CLEAN,100,LOW
BID-00082,Bharat Pvt Ltd,05XLTPN6350V1Z3,GGIUS7320G,UDYAM-TN-05-2828260,U30369DL2008PTC272359,TN,Micro,Works,GEM/2026/B/3025626,CLEAN,100,LOW
BID-00083,Apex Agro,06DERVS0830H1Z6,KBHVE9855D,UDYAM-GJ-15-2709721,U28322DL2008PTC112537,GJ,Small,Services,GEM/2026/B/3193037,CLEAN,100,LOW
BID-00084,Lakshmi Enterprises,07VABXL1983B1Z8,BYLSM3439I,UDYAM-RJ-09-8482830,U29481DL2006PTC743937,RJ,Medium,Works,GEM/2026/B/9370012,CLEAN,100,LOW
BID-00085,United Pvt Ltd,09KQUGZ5037P1Z9,UIOIH0508I,UDYAM-PB-02-8913550,U79393DL2016PTC904092,PB,Micro,Services,GEM/2026/B/2679975,CLEAN,100,LOW
BID-00086,Unity Textiles,04YOZKY9123X1Z6,XASYO5198P,UDYAM-KA-18-6185050,U33010DL2020PTC139807,KA,Medium,Goods,GEM/2026/B/6565572,MINOR_ISSUES,70,MEDIUM
BID-00087,Apex Industries,10UWBDS1153C1Z6,SRPII9746P,UDYAM-HR-21-6323132,U32833DL2022PTC827250,HR,Small,Works,GEM/2026/B/4745298,CLEAN,100,LOW
BID-00088,Prime Corp,10DSYYK9906Z1Z4,QCMIC3369W,UDYAM-HR-22-6632941,U68540DL2005PTC378095,HR,Small,Works,GEM/2026/B/1807780,MINOR_ISSUES,78,MEDIUM
BID-00089,Om Industries,08JJVUP7247B1Z5,AGCIX1099K,UDYAM-WB-20-9098979,U14062DL2018PTC785386,WB,Small,Services,GEM/2026/B/5450404,MAJOR_ISSUES,35,HIGH
BID-00090,Sterling Traders,05OMBAC8640G1Z3,QZMDU4826M,UDYAM-TN-06-7224691,U59996DL2016PTC295646,TN,Micro,Goods,GEM/2026/B/8802377,CLEAN,100,LOW
BID-00091,Unity Engineering,04RCIOZ5588N1Z9,RYOGH3805Q,UDYAM-KA-26-3473761,U25765DL2019PTC281276,KA,Micro,Goods,GEM/2026/B/8304686,MINOR_ISSUES,78,MEDIUM
BID-00092,Silver Solutions,03BKKIH4876Q1Z7,CDOPZ1177R,UDYAM-DL-12-7893590,U44620DL2017PTC786594,DL,Small,Works,GEM/2026/B/7640300,MAJOR_ISSUES,20,HIGH
BID-00093,Metro Pvt Ltd,06XAVHH4608E1Z5,ZLVHK6128X,UDYAM-GJ-16-9665455,U59009DL2006PTC640299,GJ,Medium,Services,GEM/2026/B/1485669,MAJOR_ISSUES,42,HIGH
BID-00094,Apex Pvt Ltd,04XSHVN6103T1Z8,EWPJE8762M,UDYAM-KA-02-3733132,U85007DL2011PTC998746,KA,Micro,Goods,GEM/2026/B/5514473,CLEAN,100,LOW
BID-00095,Modern Pvt Ltd,07DEUFP9772M1Z6,LFHNQ5099L,UDYAM-RJ-18-5742531,U49121DL2008PTC605139,RJ,Medium,Goods,GEM/2026/B/6454894,CLEAN,100,LOW
BID-00096,Unity Solutions,05GBWVK3104J1Z5,XKTPZ8376U,UDYAM-TN-26-8981512,U98063DL2016PTC631958,TN,Micro,Goods,GEM/2026/B/4038955,CLEAN,100,LOW
BID-00097,United Industries,02OXYXR2284K1Z6,GHWMW5908Q,UDYAM-MH-04-7403346,U79446DL2014PTC533174,MH,Medium,Services,GEM/2026/B/6308033,MINOR_ISSUES,70,MEDIUM
BID-00098,Bharat Agro,03IBLFU5177E1Z7,QKZJA1303Q,UDYAM-DL-07-1300582,U98702DL2005PTC757128,DL,Small,Works,GEM/2026/B/1767026,BLACKLISTED,30,HIGH
BID-00099,Star Textiles,05XZIXJ1994H1Z4,SDTPE3608I,UDYAM-TN-25-9971338,U91675DL2006PTC722774,TN,Medium,Works,GEM/2026/B/1809249,CLEAN,100,LOW
BID-00100,Om Agro,02MDSQH6626E1Z7,VCSDC1112Q,UDYAM-MH-07-7004931,U63707DL2014PTC268163,MH,Small,Goods,GEM/2026/B/9064202,CLEAN,100,LOW
BID-00101,Shree Pvt Ltd,04VRDCN7122J1Z5,MCEBH8370Y,UDYAM-KA-02-1162274,U28139DL2010PTC444625,KA,Medium,Goods,GEM/2026/B/2909784,MAJOR_ISSUES,35,HIGH
BID-00102,Star Solutions,07UQUCS0914S1Z8,UREJJ0689E,UDYAM-RJ-16-9189341,U24802DL2018PTC562094,RJ,Small,Works,GEM/2026/B/9804983,MAJOR_ISSUES,42,HIGH
BID-00103,Royal Traders,10RQLSM6618T1Z1,AYNMM1733I,UDYAM-HR-02-9504862,U39190DL2022PTC774567,HR,Medium,Services,GEM/2026/B/2322557,CLEAN,100,LOW
BID-00104,Royal Agro,08DMQCK5006T1Z5,XORLI8883Y,UDYAM-WB-20-8937865,U96136DL2016PTC850689,WB,Micro,Services,GEM/2026/B/1036858,CLEAN,100,LOW
BID-00105,Sterling Textiles,06BEDSS1619M1Z4,LUSCK9857O,UDYAM-GJ-15-9459031,U27647DL2020PTC104548,GJ,Medium,Services,GEM/2026/B/3153888,MINOR_ISSUES,92,LOW
BID-00106,Silver Engineering,07KPSGK3281T1Z9,HSWSY6262L,UDYAM-RJ-22-3225862,U95208DL2010PTC628370,RJ,Small,Works,GEM/2026/B/9957402,MAJOR_ISSUES,20,HIGH
BID-00107,Shree Textiles,07BBGUZ6107G1Z9,AVCWT8752Z,UDYAM-RJ-26-5825775,U97096DL2006PTC500118,RJ,Micro,Goods,GEM/2026/B/1902651,CLEAN,100,LOW
BID-00108,Apex Engineering,05SQTOP7921V1Z2,EENJL5152K,UDYAM-TN-15-3597208,U15235DL2009PTC438302,TN,Small,Goods,GEM/2026/B/6332789,MAJOR_ISSUES,42,HIGH
BID-00109,Prime Textiles,04OKJWR3296P1Z9,VZARL9669V,UDYAM-KA-11-7398370,U24860DL2017PTC369054,KA,Micro,Works,GEM/2026/B/9671603,CLEAN,100,LOW
BID-00110,Modern Textiles,06XFNYE9500V1Z4,WLCNS9769X,UDYAM-GJ-22-3579573,U13113DL2019PTC851690,GJ,Small,Services,GEM/2026/B/1910467,CLEAN,100,LOW
BID-00111,Classic Enterprises,05KLKIK1070X1Z1,SBYCU3074M,UDYAM-TN-22-1517059,U72126DL2010PTC659381,TN,Medium,Goods,GEM/2026/B/7260091,MAJOR_ISSUES,35,HIGH
BID-00112,Classic Industries,09PNYHT9346Q1Z3,EFVFE7889R,UDYAM-PB-15-2227162,U48096DL2007PTC362865,PB,Micro,Goods,GEM/2026/B/9173698,CLEAN,100,LOW
BID-00113,Sunrise Traders,06XILQH5533N1Z3,AGFTL8178O,UDYAM-GJ-15-7018685,U50038DL2020PTC678469,GJ,Micro,Services,GEM/2026/B/2375290,CLEAN,100,LOW
BID-00114,Sunrise Textiles,05QSXWQ8572B1Z9,GXORD3858E,UDYAM-TN-15-9407451,U76900DL2007PTC516059,TN,Micro,Services,GEM/2026/B/8486336,MINOR_ISSUES,68,MEDIUM
BID-00115,Royal Engineering,03MJFMB3029L1Z7,MLBZI7588I,UDYAM-DL-19-3916715,U59369DL2017PTC483041,DL,Medium,Goods,GEM/2026/B/6920646,MINOR_ISSUES,92,LOW
BID-00116,United Agro,06DECQF1371H1Z7,VSMMF1800S,UDYAM-GJ-19-3703298,U27658DL2021PTC141094,GJ,Medium,Goods,GEM/2026/B/3790745,CLEAN,100,LOW
BID-00117,Modern Corp,03WSVYF6442N1Z3,UVERG7345H,UDYAM-DL-13-7466977,U27329DL2008PTC117367,DL,Medium,Works,GEM/2026/B/8042991,CLEAN,100,LOW
BID-00118,Silver Enterprises,03PWNTC6950Y1Z7,NJBNF8735X,UDYAM-DL-25-2639417,U65769DL2009PTC366881,DL,Micro,Services,GEM/2026/B/1119354,MAJOR_ISSUES,28,HIGH
BID-00119,Global Textiles,09RIJEQ2843I1Z7,TKUMJ5233W,UDYAM-PB-13-3316405,U96413DL2008PTC884140,PB,Micro,Services,GEM/2026/B/1873301,MINOR_ISSUES,85,LOW
BID-00120,Shree Enterprises,07LBFCA3965W1Z1,YVQLF6820T,UDYAM-RJ-17-9653916,U40365DL2010PTC806765,RJ,Micro,Services,GEM/2026/B/7701385,MAJOR_ISSUES,35,HIGH
BID-00121,Ganga Engineering,07SXOSO5382G1Z8,YOGKC0298I,UDYAM-RJ-18-5196677,U68034DL2017PTC690525,RJ,Micro,Works,GEM/2026/B/8698199,CLEAN,100,LOW
BID-00122,Royal Pvt Ltd,08JUFSU4357I1Z4,HKTIO1325F,UDYAM-WB-24-4190481,U75404DL2011PTC346269,WB,Small,Goods,GEM/2026/B/4469169,CLEAN,100,LOW
BID-00123,Metro Engineering,04DCYMA8983K1Z8,XWOHE7537E,UDYAM-KA-02-9820377,U65466DL2020PTC667036,KA,Small,Goods,GEM/2026/B/3019442,MINOR_ISSUES,92,LOW
BID-00124,Star Technologies,09FPIPG5246L1Z3,MFSJW2115H,UDYAM-PB-04-5528994,U40907DL2022PTC553214,PB,Medium,Goods,GEM/2026/B/3509000,CLEAN,100,LOW
BID-00125,Prime Corp,01WNSUH5536B1Z4,VMQLI3592A,UDYAM-UP-14-3034027,U56018DL2011PTC704875,UP,Small,Goods,GEM/2026/B/5807067,BLACKLISTED,20,HIGH
BID-00126,Prime Technologies,03KXCII6763O1Z6,TNLEW1227X,UDYAM-DL-03-4532803,U31877DL2017PTC208013,DL,Small,Works,GEM/2026/B/1903041,CLEAN,100,LOW
BID-00127,Modern Enterprises,07CYKFT4151B1Z6,WIMZO2496F,UDYAM-RJ-19-8659527,U92712DL2023PTC556106,RJ,Micro,Services,GEM/2026/B/6195254,CLEAN,100,LOW
BID-00128,United Textiles,06JGHAV8340P1Z8,HTUPU5184H,UDYAM-GJ-06-7538471,U59592DL2012PTC375754,GJ,Micro,Goods,GEM/2026/B/9667278,CLEAN,100,LOW
BID-00129,Unity Solutions,10GEBDC4474K1Z1,DZAZH1400A,UDYAM-HR-16-4643811,U54815DL2018PTC426711,HR,Medium,Works,GEM/2026/B/8779334,CLEAN,100,LOW
BID-00130,Vishnu Enterprises,01KOEXG3097M1Z8,GZFTC6239K,UDYAM-UP-06-1707762,U82034DL2021PTC228074,UP,Micro,Goods,GEM/2026/B/4334029,CLEAN,100,LOW
BID-00131,Apex Enterprises,01AUPKG9566E1Z6,UGMRI9703E,UDYAM-UP-23-9998515,U24076DL2009PTC611540,UP,Micro,Works,GEM/2026/B/6827024,CLEAN,100,LOW
BID-00132,Apex Pvt Ltd,08DXMLH6113X1Z8,HVXOB1223A,UDYAM-WB-25-9488562,U59681DL2010PTC119629,WB,Medium,Services,GEM/2026/B/5006173,CLEAN,100,LOW
BID-00133,Classic Corp,02TEHKI0609F1Z1,FMCOV6572L,UDYAM-MH-08-2189067,U11715DL2011PTC787603,MH,Micro,Works,GEM/2026/B/7191944,MINOR_ISSUES,82,LOW
